00:40:13 5040 A     
00:40:18 5000 A     
00:40:23 5000 A Pause    
00:40:28 5000 A Pause    
00:40:33 5000 A Pause    
00:40:38 5000 A Pause    
00:40:43 5000 A Pause    
00:40:48 5000 A Pause    
00:40:53 5000 A Pause    
00:40:58 5000 A Pause    
00:41:03 5000 A Pause    
00:41:08 5000 A Pause    
00:41:13 5000 A Pause    
00:41:18 5000 A Pause    
00:41:23 5000 A Pause    
00:41:28 5000 A Pause    
00:41:33 5000 A Pause    
00:41:38 5000 A Pause    
00:41:43 5000 A Pause    
00:41:48 5000 A Pause    
00:41:53 5000 A Pause    
00:41:58 5000 A Pause    
00:42:03 5000 A Pause    
00:42:08 5000 A Pause    
00:42:13 5000 A Pause    
00:42:18 5000 A Pause    
00:42:23 5000 A Pause    
00:42:28 5000 A Pause    
00:42:33 5000 A Pause    
00:42:38 5000 A Pause    
00:42:43 5000 A Pause    
00:42:48 5000 A Pause    
00:42:53 5000 A Pause    
00:42:58 5000 A Pause    
00:43:03 5000 A Pause    
00:43:08 5000 A Pause    
00:43:13 5000 A Pause    
00:43:18 5000 A Pause    
00:43:23 5000 A Pause    
00:43:28 5000 A Pause    
00:43:33 5000 A Pause    
00:43:38 5000 A Pause    
00:43:43 5000 A Pause    
00:43:48 5000 A Pause    
00:43:53 5000 A Pause    
00:43:58 5000 A Pause    
00:44:03 5000 A Pause    
00:44:08 5000 A Pause    
00:44:13 5000 A Pause    
00:44:18 5000 A Pause    
00:44:23 5000 A Pause    
00:44:28 5000 A Pause    
00:44:33 5000 A Pause    
00:44:38 5000 A Pause    
00:44:43 5000 A Pause    
00:44:48 5000 A Pause    
00:44:53 5000 A Pause    
00:44:58 5000 A Pause    
00:45:03 5000 A Pause    
00:45:08 5000 A Pause    
00:45:13 5000 A Pause    
00:45:18 5000 A Pause    
00:45:23 5000 A Pause    
00:45:28 5000 A Pause    
00:45:33 5000 A Pause    
00:45:38 5000 A Pause    
00:45:43 5000 A Pause    
00:45:48 5000 A Pause    
00:45:53 5000 A Pause    
00:45:58 5000 A Pause    
00:46:03 5000 A Pause    
00:46:08 5000 A Pause    
00:46:13 5000 A Pause    
00:46:18 5000 A Pause    
00:46:23 5000 A Pause    
00:46:28 5000 A Pause    
00:46:33 5000 A Pause    
00:46:38 5000 A Pause    
00:46:43 5000 A Pause    
00:46:48 5000 A Pause    
00:46:53 5000 A Pause    
00:46:58 5000 A Pause    
00:47:03 5000 A Pause    
00:47:08 5000 A Pause    
00:47:13 5000 A Pause    
00:47:18 5000 A Pause    
00:47:23 5000 A Pause    
00:47:28 5000 A Pause    
00:47:33 5000 A Pause    
00:47:38 5000 A Pause    
00:47:43 5000 A Pause    
00:47:48 5000 A Pause    
00:47:53 5000 A Pause    
00:47:58 5000 A Pause    
00:48:03 5000 A Pause    
00:48:08 5000 A Pause    
00:48:13 5000 A Pause    
00:48:18 5000 A Pause    
00:48:23 5000 A Pause    
00:48:28 5000 A Pause    
00:48:33 5000 A Pause    
00:48:38 5000 A Pause    
00:48:43 5000 A Pause    
00:48:48 5000 A Pause    
00:48:53 5000 A Pause    
00:48:58 5000 A Pause    
00:49:03 5000 A Pause    
00:49:08 5000 A Pause    
00:49:13 5000 A Pause    
00:49:18 5000 A Pause    
00:49:23 5000 A Pause    
00:49:28 5000 A Pause    
00:49:33 5000 A Pause    
00:49:38 5000 A Pause    
00:49:43 5000 A Pause    
00:49:48 5000 A Pause    
00:49:53 5000 A Pause    
00:49:58 5000 A Pause    
00:50:03 5000 A Pause    
00:50:08 5000 A Pause    
00:50:13 5000 A Pause    
00:50:18 5000 A Pause    
00:50:23 5000 A Pause    
00:50:28 5000 A Pause    
00:50:33 5000 A Pause    
00:50:38 5000 A Pause    
00:50:43 5000 A Pause    
00:50:48 5000 A Pause    
00:50:53 5000 A Pause    
00:50:58 5000 A Pause    
00:51:03 5000 A Pause    
00:51:08 5000 A Pause    
00:51:13 5000 A Pause    
00:51:18 5000 A Pause    
00:51:23 5000 A Pause    
00:51:28 5000 A Pause    
00:51:33 5000 A Pause    
00:51:38 5000 A Pause    
00:51:43 5000 A Pause    
00:51:48 5000 A Pause    
00:51:53 5000 A Pause    
00:51:58 5000 A Pause    
00:52:03 5000 A Pause    
00:52:08 5000 A Pause    
00:52:13 5000 A Pause    
00:52:18 5000 A Pause    
00:52:23 5000 A Pause    
00:52:28 5000 A Pause    
00:52:33 5000 A Pause    
00:52:38 5000 A Pause    
00:52:43 5000 A Pause    
00:52:48 5000 A Pause    
00:52:53 5000 A Pause    
00:52:58 5000 A Pause    
00:53:03 5000 A Pause    
00:53:08 5000 A Pause    
00:53:13 5000 A Pause    
00:53:18 5000 A Pause    
00:53:23 5000 A Pause    
00:53:28 5000 A Pause    
00:53:33 5000 A Pause    
00:53:38 5000 A Pause    
00:53:43 5000 A Pause    
00:53:48 5000 A Pause    
00:53:53 5000 A Pause    
00:53:58 5000 A Pause    
00:54:03 5000 A Pause    
00:54:08 5000 A Pause    
00:54:13 5000 A Pause    
00:54:18 5000 A Pause    
00:54:23 5000 A Pause    
00:54:28 5000 A Pause    
00:54:33 5000 A Pause    
00:54:38 5000 A Pause    
00:54:43 5000 A Pause    
00:54:48 5000 A Pause    
00:54:53 5000 A Pause    
00:54:58 5000 A Pause    
00:55:03 5000 A Pause    
00:55:08 5000 A Pause    
00:55:13 5000 A Pause    
00:55:18 5000 A Pause    
00:55:23 5000 A Pause    
00:55:28 5000 A Pause    
00:55:33 5000 A Pause    
00:55:38 5000 A Pause    
00:55:43 5000 A Pause    
00:55:48 5000 A Pause    
00:55:53 5000 A Pause    
00:55:58 5000 A Pause    
00:56:03 5000 A Pause    
00:56:08 5000 A Pause    
00:56:13 5000 A Pause    
00:56:18 5000 A Pause    
00:56:23 5000 A Pause    
00:56:28 5000 A Pause    
00:56:33 5000 A Pause    
00:56:38 5000 A Pause    
00:56:43 5000 A Pause    
00:56:48 5000 A Pause    
00:56:53 5000 A Pause    
00:56:58 5000 A Pause    
00:57:03 5000 A Pause    
00:57:08 5000 A Pause    
00:57:13 5000 A Pause    
00:57:18 5000 A Pause    
00:57:23 5000 A Pause    
00:57:28 5000 A Pause    
00:57:33 5000 A Pause    
00:57:38 5000 A Pause    
00:57:43 5000 A Pause    
00:57:48 5000 A Pause    
00:57:53 5000 A Pause    
00:57:58 5000 A Pause    
